timestamp,text;;;
2021-05-22 05:01:53,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/79JW41VWU2';;;
2021-05-22 05:01:37,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/6oPRKcAPSz';;;
2021-05-22 05:01:24,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/mc7NXaU4aX';;;
2021-05-22 05:01:11,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/l4iQhrxRN3';;;
2021-05-22 05:01:01,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/tVAExXI0dj';;;
2021-05-22 05:00:52,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/SEAmpOn2c6';;;
2021-05-22 05:00:30,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/28ZqhYkm7Q';;;
2021-05-22 05:00:19,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/LKPpKoG6bw';;;
2021-05-22 05:00:02,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/rSP1VI495t';;;
2021-05-22 04:59:40,b'Giat Pemeriksaan Larangan Mudik Lebaran 2021\n@irsmm_id \n@roadsafetymedia \n@RTMCRiau \n@HumasPoldaRiau \n@sepdum\xe2\x80\xa6 https://t.co/8L9hOcm1Fd';;;
